PlayedAt,TrackName,ArtistName,TrackId,TrackURL
"December 17, 2024 at 10:55PM",Luxo No Morro,Veigh,1pUMlAh6i3Zb1wiv5Xmj8c,https://open.spotify.com/track/1pUMlAh6i3Zb1wiv5Xmj8c
"December 17, 2024 at 10:57PM",Fumaça Quente,BIN,7goPqaQ587wr3YRDcWTS1x,https://open.spotify.com/track/7goPqaQ587wr3YRDcWTS1x
"December 17, 2024 at 11:01PM",Flying High,Yunk Vino,1Qjfbfnf1jEEiGMDggmig1,https://open.spotify.com/track/1Qjfbfnf1jEEiGMDggmig1
"December 17, 2024 at 11:03PM",Menino do Gueto,Salaga,5Gjnq8N7kPi7QRay4Eswmd,https://open.spotify.com/track/5Gjnq8N7kPi7QRay4Eswmd
"December 17, 2024 at 11:06PM",Medo de Quem?,WIU,5EKCczncKlpSmDoP074cVF,https://open.spotify.com/track/5EKCczncKlpSmDoP074cVF
"December 17, 2024 at 11:08PM",Me Sinto Oruam,"Ryu, The Runner",5QxjPkDZUpgYBHRDAwKauj,https://open.spotify.com/track/5QxjPkDZUpgYBHRDAwKauj
"December 17, 2024 at 11:19PM",Trem Bala,Filipe Ret,5FMGxAsvNJGvrP8J5Z4uKN,https://open.spotify.com/track/5FMGxAsvNJGvrP8J5Z4uKN
"December 17, 2024 at 11:23PM",3:15 (Breathe),Russ,0dGqP4VickYjtIaB5VOt4H,https://open.spotify.com/track/0dGqP4VickYjtIaB5VOt4H
"December 17, 2024 at 11:38PM",tigrinho,MC Cabelinho,56x69XVUEab7NtWMUYvcLe,https://open.spotify.com/track/56x69XVUEab7NtWMUYvcLe
"December 17, 2024 at 11:40PM",Além do Dinheiro,Filipe Ret,7qLM93TElkbHLnLBNviq3y,https://open.spotify.com/track/7qLM93TElkbHLnLBNviq3y
"December 17, 2024 at 11:42PM",ON,Alee,3TKDsrJkQhHZ7HDCLFrxFf,https://open.spotify.com/track/3TKDsrJkQhHZ7HDCLFrxFf
"December 17, 2024 at 11:46PM",Dentro de Você,Filipe Ret,15kW9fqlnorhFhzJosKu0F,https://open.spotify.com/track/15kW9fqlnorhFhzJosKu0F
"December 17, 2024 at 11:49PM",É Sal,Matuê,2c80HnIOPMmQQVQllQEWb5,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5
"December 18, 2024 at 12:23AM",tigrinho,MC Cabelinho,56x69XVUEab7NtWMUYvcLe,https://open.spotify.com/track/56x69XVUEab7NtWMUYvcLe
"December 18, 2024 at 10:28AM",Ibiza,L7NNON,0iqMxa5BrNSP4ogxOwwqIK,https://open.spotify.com/track/0iqMxa5BrNSP4ogxOwwqIK
"December 18, 2024 at 10:31AM",nssmnsb,MC Cabelinho,2JQnJDm11xI1aPDydn5qIN,https://open.spotify.com/track/2JQnJDm11xI1aPDydn5qIN
"December 18, 2024 at 11:04AM",TEMPO DO OURO,Alee,7a9sHTuIYHpwiAFUMgm7A7,https://open.spotify.com/track/7a9sHTuIYHpwiAFUMgm7A7
"December 18, 2024 at 11:14AM",Cena de Cinema,Filipe Ret,0CI8HkuouIAugyOiWkYkt8,https://open.spotify.com/track/0CI8HkuouIAugyOiWkYkt8
"December 18, 2024 at 11:26AM",TAMBOR,Alee,6lUV4vN68pfhLI4k0NSBYP,https://open.spotify.com/track/6lUV4vN68pfhLI4k0NSBYP
"December 18, 2024 at 11:28AM",PASSADO DE UM VILÃO,Alee,5gXH6r92zVkhgP1BF73J4b,https://open.spotify.com/track/5gXH6r92zVkhgP1BF73J4b
"December 18, 2024 at 10:37AM",ngm é perfeito,MC Cabelinho,48s5RykIHKyvbE04ejMxH1,https://open.spotify.com/track/48s5RykIHKyvbE04ejMxH1
"December 18, 2024 at 10:46AM",Balanço de Rede,WIU,0qaEgZu9Qq9D41zyiAiiro,https://open.spotify.com/track/0qaEgZu9Qq9D41zyiAiiro
"December 18, 2024 at 10:51AM",Vida Eterna,Filipe Ret,54uhguG9xPmCBB4NCbXaWw,https://open.spotify.com/track/54uhguG9xPmCBB4NCbXaWw
"December 18, 2024 at 10:59AM",Quero Paz,Filipe Ret,2jtg6PA6LmQQa7fS0a7MbF,https://open.spotify.com/track/2jtg6PA6LmQQa7fS0a7MbF
"December 18, 2024 at 11:06AM",ON,Alee,3TKDsrJkQhHZ7HDCLFrxFf,https://open.spotify.com/track/3TKDsrJkQhHZ7HDCLFrxFf
"December 18, 2024 at 11:09AM",Nós Combina,Mãolee,4ZrKyfCV1UcHuZjbLp03fM,https://open.spotify.com/track/4ZrKyfCV1UcHuZjbLp03fM
"December 18, 2024 at 11:12AM",Trap de Cria 2,Kyan,5qnho1YQwjbuTa3j3pfoyS,https://open.spotify.com/track/5qnho1YQwjbuTa3j3pfoyS
"December 18, 2024 at 11:32AM",DE VOLTA,Brandão85,2fMm9PrJqhjphXdsNHNoQC,https://open.spotify.com/track/2fMm9PrJqhjphXdsNHNoQC
"December 18, 2024 at 11:36AM",ESPAÇONAVE,Brandão85,4pwKy99a1IhAwjekz8Zf0c,https://open.spotify.com/track/4pwKy99a1IhAwjekz8Zf0c
"December 18, 2024 at 12:01PM",Castlevania,Matuê,3Kh5a6vXMiJtC35jMEfmyy,https://open.spotify.com/track/3Kh5a6vXMiJtC35jMEfmyy
"December 18, 2024 at 12:04PM",04AM,Matuê,2fTTmjyF7pfarDBAbsJkvb,https://open.spotify.com/track/2fTTmjyF7pfarDBAbsJkvb
"December 18, 2024 at 12:12PM",4Tal,Matuê,6OcZP4rUfuxms2r8Mwx5BQ,https://open.spotify.com/track/6OcZP4rUfuxms2r8Mwx5BQ
"December 18, 2024 at 12:19PM",Isso é Sério,Matuê,3Sa2gVQioE31DcG4nKNDqD,https://open.spotify.com/track/3Sa2gVQioE31DcG4nKNDqD
"December 18, 2024 at 12:22PM",Imagina esse Cenário,Matuê,2fjqfFUq64thFsqfKN01kS,https://open.spotify.com/track/2fjqfFUq64thFsqfKN01kS
"December 18, 2024 at 12:24PM",Crack com Mussilon,Matuê,4ssHL7bSnOAE7HjiuLx6Co,https://open.spotify.com/track/4ssHL7bSnOAE7HjiuLx6Co
"December 18, 2024 at 10:34AM",terminei recentemente,MC Cabelinho,32Pnch1VwRe5aEubdr5SaH,https://open.spotify.com/track/32Pnch1VwRe5aEubdr5SaH
"December 18, 2024 at 10:43AM",tigrinho,MC Cabelinho,56x69XVUEab7NtWMUYvcLe,https://open.spotify.com/track/56x69XVUEab7NtWMUYvcLe
"December 18, 2024 at 10:49AM",Voando Num Cisne Negro,Filipe Ret,45eASeDwKCiuTlVUl86jzh,https://open.spotify.com/track/45eASeDwKCiuTlVUl86jzh
"December 18, 2024 at 10:54AM",Quando O Tempo Fechar,Filipe Ret,3Qmd1osh5bArdIRjhpafyz,https://open.spotify.com/track/3Qmd1osh5bArdIRjhpafyz
"December 18, 2024 at 10:56AM",Vibe Infinita,Filipe Ret,3zZzG8v295s437L9X8qjlZ,https://open.spotify.com/track/3zZzG8v295s437L9X8qjlZ
"December 18, 2024 at 11:01AM",Acima De Mim Só Deus,Filipe Ret,08adMS3hYWRQlYmUwGI5rB,https://open.spotify.com/track/08adMS3hYWRQlYmUwGI5rB
"December 18, 2024 at 11:42AM",LAMBORGHINI,Brandão85,7nKqKSu0ID3VPZzZvK5A36,https://open.spotify.com/track/7nKqKSu0ID3VPZzZvK5A36
"December 18, 2024 at 11:46AM",Like This!,Matuê,49gGZLLm1d7fBFQkTqskXo,https://open.spotify.com/track/49gGZLLm1d7fBFQkTqskXo
"December 18, 2024 at 11:55AM",Maria,Matuê,2ux3Sb90r5aA74nLMls1u0,https://open.spotify.com/track/2ux3Sb90r5aA74nLMls1u0
"December 18, 2024 at 11:57AM",V de Vilão,Matuê,7pMfMzfYSTbNxj5lJEbQIp,https://open.spotify.com/track/7pMfMzfYSTbNxj5lJEbQIp
"December 18, 2024 at 12:09PM",O Som,Matuê,4v0VOuuaZSQHjnjzkC3cnk,https://open.spotify.com/track/4v0VOuuaZSQHjnjzkC3cnk
"December 18, 2024 at 12:14PM",1993,Matuê,6QsHhB0W9GtLF3cI7mUVkQ,https://open.spotify.com/track/6QsHhB0W9GtLF3cI7mUVkQ
"December 18, 2024 at 12:26PM",Os Menino da Nova,Supernova Ent,1okn8NTTHVQuP4hghJi2Ec,https://open.spotify.com/track/1okn8NTTHVQuP4hghJi2Ec
"December 18, 2024 at 12:29PM",Honey Babe,Matuê,02E7Htoh3Bg6bg00jMB6nw,https://open.spotify.com/track/02E7Htoh3Bg6bg00jMB6nw
"December 18, 2024 at 10:40AM",acabou o amor,MC Cabelinho,3TuJODOhChHkg1pbMQ8RW4,https://open.spotify.com/track/3TuJODOhChHkg1pbMQ8RW4
"December 18, 2024 at 11:17AM",Tua Fé,Filipe Ret,5MeGkenm8Qzf7f3GuosiXX,https://open.spotify.com/track/5MeGkenm8Qzf7f3GuosiXX
"December 18, 2024 at 11:20AM",Lenda,Filipe Ret,4s9dSsjUpZDSh1NWi8hLcF,https://open.spotify.com/track/4s9dSsjUpZDSh1NWi8hLcF
"December 18, 2024 at 11:23AM",Não Desista Agora,Filipe Ret,0n9b7WrRRZkTy8CfXjbZb4,https://open.spotify.com/track/0n9b7WrRRZkTy8CfXjbZb4
"December 18, 2024 at 11:39AM",DESTAQUE,Brandão85,2FwcM5w6qEiYJCIy8y7sqt,https://open.spotify.com/track/2FwcM5w6qEiYJCIy8y7sqt
"December 18, 2024 at 11:52AM",333,Matuê,0qsKefQyXCzaxjHbOcd8IU,https://open.spotify.com/track/0qsKefQyXCzaxjHbOcd8IU
"December 18, 2024 at 02:01PM",A Última Dança,Matuê,6Vv7VhPQoWJ8CzzmyRedm7,https://open.spotify.com/track/6Vv7VhPQoWJ8CzzmyRedm7
"December 18, 2024 at 02:04PM",A Última Dança,Matuê,6Vv7VhPQoWJ8CzzmyRedm7,https://open.spotify.com/track/6Vv7VhPQoWJ8CzzmyRedm7
"December 18, 2024 at 02:09PM",nssmnsb,MC Cabelinho,2JQnJDm11xI1aPDydn5qIN,https://open.spotify.com/track/2JQnJDm11xI1aPDydn5qIN
"December 18, 2024 at 02:18PM",terminei recentemente,MC Cabelinho,32Pnch1VwRe5aEubdr5SaH,https://open.spotify.com/track/32Pnch1VwRe5aEubdr5SaH
"December 18, 2024 at 02:25PM",ngm é perfeito,MC Cabelinho,48s5RykIHKyvbE04ejMxH1,https://open.spotify.com/track/48s5RykIHKyvbE04ejMxH1
"December 18, 2024 at 02:28PM",acabou o amor,MC Cabelinho,3TuJODOhChHkg1pbMQ8RW4,https://open.spotify.com/track/3TuJODOhChHkg1pbMQ8RW4
"December 18, 2024 at 02:31PM",tigrinho,MC Cabelinho,56x69XVUEab7NtWMUYvcLe,https://open.spotify.com/track/56x69XVUEab7NtWMUYvcLe
